alpha,comparator,delta_auc_ci95,delta_auc_mean,delta_auc_std,delta_auprc_ci95,delta_auprc_mean,delta_auprc_std,delta_balanced_accuracy_ci95,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_client_auprc_mean_ci95,delta_client_auprc_mean_mean,delta_client_auprc_mean_std,delta_f1_ci95,delta_f1_mean,delta_f1_std,num_runs,target_epsilon,v5_variant
0.1,dp_uniform,0.011536628731467517,0.011515172137200214,0.018613277199579795,0.008349311210545114,0.010745102843772081,0.013470836897398074,0.010703550234163604,0.014239008068122427,0.017269182545911015,0.0027179221238908913,0.002443160758549512,0.004385114497172224,0.011492437907627563,0.014132440650416444,0.018541979416409633,10,3.0,full_ha_dp
0.1,scheduler,0.015503825101083047,-0.0020234407895022843,0.025013979471588108,0.01393364261151007,-0.0065935219461377755,0.02248063609956556,0.01224862306041297,-0.0001089569850110883,0.019762013812126115,0.003641738808614926,0.0009428915209099386,0.005875606774822036,0.01898290667793544,-0.00026144293118249284,0.030627153935049178,10,3.0,full_ha_dp
0.1,dp_uniform,0.01710779618346041,-0.0003950285361996153,0.02760183759472996,0.016052795097460368,-0.005872958013870116,0.02589969148977521,0.01237809418961935,-0.0011833278477217824,0.019970903434333314,0.0031718350735015694,0.001051646348874169,0.005117460813608441,0.01796943413263198,0.00017923386378334015,0.028992010267086366,10,3.0,ha_uniform
0.1,scheduler,0.021772927097197484,-0.013933641462902113,0.035128592324460396,0.02342611565075878,-0.023211582803779975,0.03779585825863027,0.02106001208184433,-0.015531292900855299,0.033978370270047194,0.0041636490590105085,-0.00044862288876540424,0.006717660410250013,0.025598831788546977,-0.014214649717815598,0.04130133361802565,10,3.0,ha_uniform
0.5,dp_uniform,0.020342897405275638,0.029753505483165743,0.03282137245295941,0.025971852118080063,0.03865863751779052,0.04190316721744969,0.03080261370712523,0.041363161299072373,0.04969715163308083,0.0159280546472949,0.01228773200936823,0.025698434378102958,0.02519477102319698,0.047164281755195485,0.0406494191631191,10,3.0,full_ha_dp
0.5,scheduler,0.01794630305219999,0.019938958931449147,0.028954690420705937,0.022587775873131297,0.02518204048296436,0.03644327501861909,0.01960292675181057,0.02717688605726335,0.031627498643452885,0.015591815686008953,0.005935860646712971,0.025155944094555627,0.028081654995889986,0.037617231939385896,0.04530713788472381,10,3.0,full_ha_dp
0.5,dp_uniform,0.021666162198016217,0.02784081975516811,0.03495633709202618,0.027770911218308932,0.036316444910391286,0.044805781708253965,0.031547094866168315,0.039393412847554876,0.050898302723722776,0.015979281945735516,0.010963733505634959,0.025781084858434358,0.0264492636939716,0.04444990582655702,0.0426734263813005,10,3.0,ha_uniform
0.5,scheduler,0.01934293115858269,0.018026273203451515,0.03120801994130659,0.024457218035443925,0.022839847875565124,0.039459446032322196,0.02037311457246354,0.025207137605745854,0.03287012504109812,0.01552269331837299,0.0046118621429797006,0.025044421584865244,0.029364497792118843,0.034902856010747434,0.047376885392898534,10,3.0,ha_uniform
