alpha,dataset,dp_auprc_100,dp_auprc_50,dp_auprc_75,dp_best_round_mean_100,dp_best_round_mean_50,dp_best_round_mean_75,dp_boundary_rate_100,dp_boundary_rate_50,dp_boundary_rate_75,full_auprc_100,full_auprc_50,full_auprc_75,full_best_round_mean_100,full_best_round_mean_50,full_best_round_mean_75,full_boundary_rate_100,full_boundary_rate_50,full_boundary_rate_75,full_minus_dp_auprc_100,full_minus_dp_auprc_50,full_minus_dp_auprc_75,full_vs_dp_wins_100,full_vs_dp_wins_50,full_vs_dp_wins_75
0.1,default_credit_card_clients,0.46523620546184363,0.4185773349607248,0.4549797517070112,97.8,49.4,73.8,0.6,0.8,0.6,0.47513167554591096,0.4326486133005319,0.4669803532786842,98.6,49.6,75.0,0.4,0.8,1.0,0.009895470084067293,0.01407127833980707,0.012000601571673075,4,5,5
0.5,default_credit_card_clients,0.47101596590913325,0.43279351615490913,0.4617950689626137,99.0,50.0,74.0,0.2,1.0,0.6,0.4865778592623289,0.4544163719442566,0.47848530060652694,100.0,50.0,75.0,1.0,1.0,1.0,0.015561893353195622,0.021622855789347438,0.016690231643913245,5,4,5
