alpha,auc_mean,auc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,client_auc_mean_mean,client_auc_mean_std,client_auc_min_mean,client_auc_min_std,client_auprc_mean_mean,client_auprc_mean_std,client_auprc_min_mean,client_auprc_min_std,client_f1_mean_mean,client_f1_mean_std,client_f1_min_mean,client_f1_min_std,client_profile_runs,client_recall_mean_mean,client_recall_mean_std,client_recall_min_mean,client_recall_min_std,epsilon_mean,epsilon_std,f1_mean,f1_std,imported_v4_runs,native_v5_runs,num_runs,precision_mean,precision_std,recall_mean,recall_std,reused_v5_runs,target_epsilon,training_time_mean,training_time_std,v5_variant
0.1,0.6640878164433208,0.030471294634113737,0.431411451656432,0.04492594608989502,0.6289858961460044,0.036512364596954096,0.21890829352050734,0.0022899814587027624,0.6150309686294397,0.07689337507448213,0.4472920236233403,0.1954556342552607,0.48856997202646923,0.13618640639920576,0.0,0.0,0.33256601461558327,0.09841783174649106,0.0,0.0,10,0.3011505995036208,0.12496457397009877,0.0,0.0,2.9999189971605302,4.8329563006794754e-05,0.43075896203450703,0.03969879643232363,0,5,10,0.4434404483442912,0.1021288279807622,0.45621703089675963,0.10670193766920152,5,3.0,37.342402124404906,0.501079867441423,dp_uniform
0.1,0.675602988580521,0.04205479529128446,0.4421565545002041,0.051341445601868235,0.6432249042141269,0.03597451314505687,0.2077017217875509,0.021339086891390996,0.6303224085762222,0.08053850504066772,0.4715846362596455,0.1807501946462238,0.49101313278501874,0.1358448681485882,0.0,0.0,0.32863482981580744,0.0718551481880335,0.0,0.0,10,0.2820459171319206,0.06336335064958451,0.0,0.0,2.99986628901055,5.145808472624861e-05,0.44489140268492344,0.05275452015307581,0,5,10,0.47540334031138265,0.07821083738681789,0.43262999246420497,0.0800391859386291,5,3.0,37.358565187454225,0.5057005073478891,full_ha_dp
0.1,0.6636927879071213,0.052136186576860755,0.4255384936425619,0.0666082511215236,0.6278025682982826,0.05041057126510515,0.2073539991954727,0.02139425639673478,0.6146974815232534,0.08896691147800279,0.43873627046418107,0.20331916681257114,0.48962161837534335,0.13632442910502293,0.0,0.0,0.3441641698495822,0.10889077776470196,0.0,0.0,10,0.31652659180305487,0.13576656625720857,0.0,0.0,2.9999322431036055,7.674642014886115e-05,0.43093819589829035,0.05861429826542194,0,10,10,0.44179928909822325,0.12198746615892249,0.4769404672192916,0.1381363507865399,0,3.0,37.75137572288513,0.25490472976404155,ha_uniform
0.1,0.6776264293700234,0.02429955043505847,0.4487500764463419,0.032599476468494266,0.6433338611991379,0.02225409049888188,0.2191118700066492,0.0019845098859152337,0.6310230842317981,0.07554387839198881,0.47180660882785636,0.1905533036785503,0.4900702412641088,0.13559587854076302,0.0,0.0,0.3220194155228215,0.08024219204845329,0.0,0.0,10,0.2751880167980416,0.07759610061793565,0.0,0.0,2.999902231686288,3.394411262949089e-05,0.44515284561610596,0.03301230986138849,0,5,10,0.4981334222945917,0.07656992710924573,0.41748304446119067,0.06722409755097605,5,3.0,37.359345984458926,0.4446895050292856,scheduler
0.5,0.6530526823511615,0.031485743916714076,0.4216449747632216,0.040359279409376926,0.617031840145033,0.047759622692862415,0.21626188367904703,0.0030958363924681047,0.6343568154669197,0.07563262033262769,0.4456192928780361,0.19008107455579282,0.4810811577699109,0.06187273022957834,0.03557490141579188,0.06114789314173306,0.3796206784187023,0.05903694469467708,0.043937437794309295,0.08448005914370225,10,0.42907844159666586,0.14037469282003404,0.10462337108756546,0.14318212792218346,2.9999490178023436,5.516898919497904e-05,0.4220250831743714,0.03533168955721275,0,5,10,0.4533699069502443,0.11789075353756061,0.47121326299924643,0.18793917925845732,5,3.0,36.80058171749115,0.5009074136407745,dp_uniform
0.5,0.6828061878343273,0.02248073047331815,0.46030361228101213,0.024782509287603244,0.6583950014441053,0.02149312110147698,0.1953150967654797,0.01909711267771507,0.661695021092913,0.06187554570668918,0.4520175203628585,0.21422993628302264,0.4933688897792791,0.0632302177313718,0.041307419042879,0.06303948854560693,0.3898897559943414,0.062264992206942364,0.05512973984976469,0.09215922759355824,10,0.39262647728654565,0.0733445005097343,0.1442156862745098,0.16209072405656766,2.999890338732262,0.0001379780802912045,0.46918936492956687,0.03569055541236522,0,5,10,0.523324839026786,0.03454491046817835,0.4284099472494348,0.052488253438751235,5,3.0,36.706772041320804,0.4476416422096737,full_ha_dp
0.5,0.6808935021063297,0.024147603760220543,0.4579614196736129,0.026889704743573946,0.6564252529925879,0.021598156614799746,0.19477450563111187,0.01976481387759137,0.6592721606469867,0.06193127843027772,0.4483247625906781,0.204713409229768,0.49204489127554585,0.06336384027623809,0.04120637298747327,0.06341193359869791,0.3828695450603327,0.06424031868545069,0.05822171577395671,0.09734096840258567,10,0.3770720251129019,0.06250955175198412,0.12314425770308124,0.14153860968499446,2.999914627173869,7.593741836716208e-05,0.46647498900092843,0.03674277340436034,0,10,10,0.5330069314861511,0.03905327487037285,0.4175584024114544,0.0502329185395495,0,3.0,37.19259140491486,0.22377495104400955,ha_uniform
0.5,0.6628672289028782,0.02795921571096175,0.4351215717980478,0.03408973401407009,0.631218115386842,0.03230271915677326,0.21643690895530185,0.002996608729002907,0.6431909820314468,0.07159058906651339,0.44838498661927945,0.18926093479190348,0.48743302913256614,0.06168162065174752,0.037456179326653835,0.06415474055726321,0.3652935999764171,0.06486179680642744,0.04317302504186483,0.08364693133797023,10,0.37496192378828125,0.080524525093711,0.10857843137254902,0.1496815363200222,2.9998958217573075,6.412161807969585e-05,0.431572132990181,0.039860775767601324,0,5,10,0.48749740304098815,0.10281322447309105,0.4145440844009043,0.09727142024822868,5,3.0,36.761581778526306,0.4477957963699367,scheduler
