alpha,composed_epsilon,dataset,mean_noise_multiplier,round,seed,target_epsilon,v5_variant,validation_auc,validation_auprc,validation_f1_fixed_0_5
0.5,1.1099812400819031,give_me_some_credit,2.235426794433594,1,42,3.0,ha_uniform,0.6646775519675538,0.13667260497069034,0.0
0.5,1.1715604974801082,give_me_some_credit,2.235426794433594,2,42,3.0,ha_uniform,0.6465752590304914,0.1113486663998953,0.0
0.5,1.2249961177478537,give_me_some_credit,2.235426794433594,3,42,3.0,ha_uniform,0.6847123016712551,0.1330527120218492,0.0
0.5,1.2751066178967763,give_me_some_credit,2.235426794433594,4,42,3.0,ha_uniform,0.7340435636217546,0.1761514176326792,0.0
0.5,1.3221653146873447,give_me_some_credit,2.235426794433594,5,42,3.0,ha_uniform,0.7646273782413051,0.21580438495402532,0.0
0.5,1.3685953742896384,give_me_some_credit,2.235426794433594,6,42,3.0,ha_uniform,0.7857788441024605,0.2509687704004731,0.0
0.5,1.4132747272258837,give_me_some_credit,2.235426794433594,7,42,3.0,ha_uniform,0.8007243455925288,0.2759604287634883,0.0
0.5,1.4578711059964071,give_me_some_credit,2.235426794433594,8,42,3.0,ha_uniform,0.8092981958392107,0.29180907505201903,0.0
0.5,1.5008629256091073,give_me_some_credit,2.235426794433594,9,42,3.0,ha_uniform,0.8166864607547036,0.30408228834734,0.0
0.5,1.5438547452218074,give_me_some_credit,2.235426794433594,10,42,3.0,ha_uniform,0.8222663113603739,0.3135403613763325,0.0
0.5,1.5862160052543677,give_me_some_credit,2.235426794433594,11,42,3.0,ha_uniform,0.825787714140261,0.31926036532940616,0.0
0.5,1.627899560966892,give_me_some_credit,2.235426794433594,12,42,3.0,ha_uniform,0.8288003090149247,0.32389742884084327,0.0
0.5,1.6695831166794164,give_me_some_credit,2.235426794433594,13,42,3.0,ha_uniform,0.8312508713036126,0.32715470138510405,0.0
0.5,1.7105854854325127,give_me_some_credit,2.235426794433594,14,42,3.0,ha_uniform,0.8337049967508446,0.3302025782717915,0.0
0.5,1.7512120655855952,give_me_some_credit,2.235426794433594,15,42,3.0,ha_uniform,0.8357341598673437,0.33284130082941316,0.0
0.5,1.7918386457386772,give_me_some_credit,2.235426794433594,16,42,3.0,ha_uniform,0.8370813678431176,0.3350152690168382,0.0
0.5,1.8318506155666339,give_me_some_credit,2.235426794433594,17,42,3.0,ha_uniform,0.8378967187318364,0.33618073273971955,0.0
0.5,1.8715889043976193,give_me_some_credit,2.235426794433594,18,42,3.0,ha_uniform,0.8390086468949969,0.33740269553322433,0.0
