alpha,comparator_cell,comparator_variant,contrast,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_cell,target_epsilon,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.1,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.021909346078205397,0.021647903147022904,-0.02217078900938789,0.03062715393504918,-0.00026144293118249284,-0.00026144293118249284,f1,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.9790534522418697,,5,A3,3.0,full_ha_dp,0,0.921875,
0.1,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.010024908437907114,0.02397811522454022,0.003928298348725991,0.014013855676778096,0.013953206786633105,0.013953206786633105,f1,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.011764177686582188,,9,A3,3.0,full_ha_dp,0,0.005859375,
0.1,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.01326413302622228,0.027396573676638725,0.0008683076241941638,0.018541979416409633,0.014132440650416444,0.014132440650416444,f1,maximize,3,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.03923329751370857,,7,A3,3.0,full_ha_dp,0,0.037109375,
0.1,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.010369571611319737,0.009928894816353903,-0.010810248406285571,0.0144956615704899,-0.000440676794965833,-0.000440676794965833,f1,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.9255198765658406,,5,A3-A2,3.0,scheduler_effect_with_ha,0,1.0,
0.1,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.013778075594143471,0.028126040647276987,0.0005698894589900444,0.019260421586491328,0.014347965053133516,0.014347965053133516,balanced_accuracy,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.04290084006426889,,9,A1,3.0,scheduler,0,0.005859375,
0.1,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.014286323690576589,0.013102995842854806,-0.015469651538298372,0.01997090343433331,-0.0011833278477217824,-0.0011833278477217824,balanced_accuracy,maximize,6,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.8555241823242525,,4,A2,3.0,ha_uniform,0,0.625,
0.1,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.014136893056741377,0.014027936071730288,-0.014245850041752465,0.019762013812126115,-0.0001089569850110883,-0.0001089569850110883,balanced_accuracy,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.9864699243346773,,5,A3,3.0,full_ha_dp,0,1.0,
0.1,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.0129672531555074,0.028389589071351612,0.00245508276033681,0.018126969973948585,0.01542233591584421,0.01542233591584421,balanced_accuracy,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.024778242109730706,,9,A3,3.0,full_ha_dp,0,0.00390625,
0.1,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.012353628994990748,0.026592637063113177,0.001885379073131679,0.017269182545911015,0.014239008068122427,0.014239008068122427,balanced_accuracy,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.02839147538859196,,8,A3,3.0,full_ha_dp,0,0.009765625,
0.1,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.004302307851969631,0.005376678714680325,-0.003227936989258937,0.0060142116696637535,0.001074370862710694,0.001074370862710694,balanced_accuracy,maximize,4,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.5859412220379178,,6,A3-A2,3.0,scheduler_effect_with_ha,0,0.556640625,
0.1,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.00023082641280896236,0.0004344028989508222,-2.7249926667102505e-05,0.00032267307532322156,0.00020357648614185986,-0.00020357648614185986,brier,minimize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.07715975771252594,,9,A1,3.0,scheduler,0,0.00390625,
0.1,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.013995072037333264,0.0024407777122986227,-0.025549366362367903,0.019563761697383233,-0.011554294325034641,0.011554294325034641,brier,minimize,7,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.09465541968275716,,3,A2,3.0,ha_uniform,0,0.048828125,
0.1,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.014143571632792229,0.00273342341369392,-0.02555371985189054,0.019771349817684938,-0.011410148219098309,0.011410148219098309,brier,minimize,8,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.10130179928026614,,2,A3,3.0,full_ha_dp,0,0.02734375,
0.1,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.00030005023683873585,0.0006477728289169282,4.767235523945646e-05,0.000419441308704758,0.0003477225920781923,-0.0003477225920781923,brier,minimize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.027739366086421944,,8,A3,3.0,full_ha_dp,0,0.01953125,
0.1,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.013950567436225424,0.002743995703268975,-0.025157139169181872,0.019501548554915066,-0.01120657173295645,0.01120657173295645,brier,minimize,7,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.10255703251729201,,3,A3,3.0,full_ha_dp,0,0.064453125,
0.1,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.00037592485779112673,0.0005200709637274592,-0.00023177875185479425,0.0005255067151015302,0.00014414610593633249,-0.00014414610593633249,brier,minimize,4,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.40824889424143873,,6,A3-A2,3.0,scheduler_effect_with_ha,0,0.322265625,
0.5,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.004482468582990685,0.014297015134707282,0.005332077968725911,0.006266059005606003,0.009814546551716596,0.009814546551716596,auc,maximize,0,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.0007879596634035915,,10,A1,3.0,scheduler,0,0.001953125,
0.5,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.025006257146837293,0.05284707690200541,0.0028345626083308186,0.034956337092026175,0.02784081975516811,0.02784081975516811,auc,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.03284497906287104,,9,A2,3.0,ha_uniform,0,0.009765625,
0.5,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.02071293775320643,0.040651896684655575,-0.0007739788217572818,0.028954690420705937,0.019938958931449147,0.019938958931449147,auc,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.05739593628374756,,8,A3,3.0,full_ha_dp,0,0.01953125,
0.5,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.0020757594302886167,0.003988445158286249,-0.00016307370229098504,0.002901711597263102,0.0019126857279976317,0.0019126857279976317,auc,maximize,3,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.06678276822457603,,7,A3,3.0,full_ha_dp,0,0.10546875,
0.5,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.023478995448239975,0.05323250093140572,0.006274510034925768,0.03282137245295941,0.029753505483165743,0.029753505483165743,auc,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.01857652720641502,,9,A3,3.0,full_ha_dp,0,0.00390625,
0.5,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.00539229314643719,-0.002509567677281775,-0.013294153970156155,0.007537906045636304,-0.007901860823718965,-0.007901860823718965,auc,maximize,10,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.00901235142593065,,0,A3-A2,3.0,scheduler_effect_with_ha,0,0.001953125,
0.5,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.006321757623252847,0.019798354658079012,0.007154839411573319,0.008837207791429205,0.013476597034826166,0.013476597034826166,auprc,maximize,0,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.0009437939757561795,0.030201407224197743,10,A1,3.0,scheduler,0,0.001953125,0.0703125
0.5,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.032052125373205516,0.0683685702835968,0.004264319537185771,0.044805781708253965,0.036316444910391286,0.036316444910391286,auprc,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.03053035531457045,0.787171146305417,8,A2,3.0,ha_uniform,0,0.013671875,0.314453125
0.5,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.026069948461401513,0.051251988944365875,-0.0008879079784371545,0.03644327501861909,0.02518204048296436,0.02518204048296436,auprc,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.056700269295788926,1.0,8,A3,3.0,full_ha_dp,0,0.02734375,0.57421875
0.5,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.002666228691926449,0.005008421299325684,-0.000324036084527214,0.0037271307086114954,0.002342192607399235,0.002342192607399235,auprc,maximize,3,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.07814459627883437,1.0,7,A3,3.0,full_ha_dp,0,0.10546875,1.0
0.5,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.029975720051786846,0.06863435756957736,0.008682917466003675,0.04190316721744969,0.03865863751779052,0.03865863751779052,auprc,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.017103330181895228,0.4788932450930664,9,A3,3.0,full_ha_dp,0,0.005859375,0.158203125
0.5,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.007662497986770255,-0.0034719064406566764,-0.018796902414197188,0.010711433583189801,-0.011134404427426931,-0.011134404427426931,auprc,maximize,10,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.0094211200039761,0.282633600119283,0,A3-A2,3.0,scheduler_effect_with_ha,0,0.001953125,0.0703125
0.5,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.00760072330376783,0.01714777311957742,0.0019463265120417588,0.010625078530928055,0.009547049815809588,0.009547049815809588,f1,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.01935792664640417,,9,A1,3.0,scheduler,0,0.02734375,
