alpha,auc_mean,auc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,baseline_variant,brier_mean,brier_std,client_auprc_mean_mean,client_auprc_mean_std,client_auprc_min_mean,client_auprc_min_std,client_f1_mean_mean,client_f1_mean_std,client_f1_min_mean,client_f1_min_std,communication_cost_mean,communication_cost_std,dataset,f1_mean,f1_std,num_runs,precision_mean,precision_std,recall_mean,recall_std,reference_scope,split,training_time_mean,training_time_std
None,0.7768870893431151,0.005277504712503861,0.5418698299357878,0.007626435982704461,0.707007926533981,0.008533776540399874,centralized_mlp,0.13592543425519046,0.001092126314113524,,,,,,,,,0.0,0.0,default_credit_card_clients,0.5397593997054929,0.011137665230244958,10,0.5230977485753315,0.03082789613385881,0.5612660135644311,0.03781571103394401,centralized_upper_reference,iid,10.760396051406861,0.014531647712745272
None,0.7602542286646936,0.0060536139831221525,0.5300965705932652,0.007801797291611038,0.7012871486231975,0.006806044045970072,fedavg_iid,0.13831745342022295,0.00107006790980438,0.5370651924462888,0.0074000279001966976,0.4743692481262095,0.016174896608393427,0.5330137145067174,0.008334329496897254,0.4825640820169953,0.015455687929592754,3204000.0,0.0,default_credit_card_clients,0.5335572802137896,0.008018642193834219,10,0.5299847010291453,0.02500131571273671,0.539638281838734,0.030650610478441594,non_private_federated_reference,iid,18.390778303146362,0.32697227293572395
0.1,0.5882205751232327,0.10245995318641841,0.3245007415521148,0.12820756120028157,0.5636672761850332,0.08419501609882724,fedavg_noniid,0.19911039230395391,0.020133367689098992,0.4683662351547599,0.14950228144331298,0.0,0.0,0.24439769808213177,0.21844307743095265,0.0,0.0,3204000.0,0.0,default_credit_card_clients,0.26459648925844914,0.23161313300201847,10,0.33936793565964096,0.22580637714904905,0.40120572720422004,0.38486977407160533,non_private_federated_reference,noniid_alpha=0.1,18.501010847091674,0.06746925424072049
0.5,0.723015209791986,0.03530493601108294,0.5020658784600415,0.03749065396348513,0.6822991060737734,0.02676706304972322,fedavg_noniid,0.175890220246608,0.02652355672405368,0.5143567980370133,0.06324805978568748,0.04597240840268253,0.07098076117139024,0.41575854953436936,0.0670587276953136,0.04536067244565567,0.08526522385945057,3204000.0,0.0,default_credit_card_clients,0.5058995955029086,0.04162783738105017,10,0.5218556368159972,0.04113330635469396,0.493594574227581,0.058000061790322695,non_private_federated_reference,noniid_alpha=0.5,18.451436614990236,0.07853173107086642
0.1,0.6865883570757374,0.04664556759053308,0.4393665259209088,0.06643103667141177,0.6335047445836373,0.04471985935567994,fedprox_noniid,0.2118392729415611,0.015168845048370027,0.4903933846788483,0.1388951253667428,0.0,0.0,0.36606193589270164,0.10195909580130558,0.0,0.0,3204000.0,0.0,default_credit_card_clients,0.4446807876559466,0.05055068780655502,10,0.41168318956613664,0.11773085608565258,0.5608892238131122,0.1630447037613099,non_private_federated_reference,noniid_alpha=0.1,23.003154110908508,0.09088470781724341
0.5,0.7234680267328015,0.033842573377482414,0.5026258389868735,0.03528172419869691,0.6821393272226685,0.024682355505638257,fedprox_noniid,0.17575947599150474,0.026362082690803763,0.5148891110197074,0.06367632655758905,0.045845415109814935,0.0708718753558713,0.42007727730012123,0.07017341527541923,0.048541417021772344,0.09283334021913786,3204000.0,0.0,default_credit_card_clients,0.5071183890912342,0.0397542046108083,10,0.5305606638961178,0.04081628590665237,0.48681235870384326,0.04641707187470834,non_private_federated_reference,noniid_alpha=0.5,22.72901725769043,0.14409692700007598
None,0.7824811955870203,0.007030776607578858,0.5577570508123012,0.011133333799114579,0.711482274594179,0.007109615526496084,hist_gbdt,0.13384760591941972,0.0014647055250934487,,,,,,,,,0.0,0.0,default_credit_card_clients,0.5449985059408842,0.00715790166190754,10,0.5207709186974699,0.022407709303691688,0.5741522230595328,0.03335945513787693,centralized_upper_reference,iid,0.1695652961730957,0.025097556701344594
None,0.7259830680861419,0.008227598572548215,0.5071493653587898,0.00801254365570933,0.6872005174590002,0.005851404549843391,logistic_regression,0.14547846041987425,0.0009154854088569567,,,,,,,,,0.0,0.0,default_credit_card_clients,0.5158255103300344,0.008331524032189418,10,0.5419150876671138,0.024519512806444904,0.49389600602863604,0.02526259064835162,centralized_upper_reference,iid,1.5766037940979003,0.19818503834727394
None,0.7830354949975576,0.0064100185140872745,0.5589959937649362,0.008990879760028252,0.7117844240132067,0.005986960697269288,xgboost,0.13381359518740624,0.001467748910119863,,,,,,,,,0.0,0.0,default_credit_card_clients,0.5470844075844812,0.007427291986550662,10,0.5302853331461944,0.02874882177918639,0.5679728711379051,0.031520589059582105,centralized_upper_reference,iid,0.18543171882629395,0.010506561520284338
