alpha,composed_epsilon,dataset,mean_noise_multiplier,round,seed,target_epsilon,v5_variant,validation_auc,validation_auprc,validation_f1_fixed_0_5
0.5,0.47421322506519614,default_credit_card_clients,4.0448188354492185,1,42,3.0,dp_uniform,0.488446141274174,0.21105382018985988,0.0
0.5,0.5939044175932893,default_credit_card_clients,4.0448188354492185,2,42,3.0,dp_uniform,0.4772630861947183,0.2105920586362944,0.0
0.5,0.7090261372072242,default_credit_card_clients,4.0448188354492185,3,42,3.0,dp_uniform,0.47370468109374986,0.2113452515674709,0.0
0.5,0.8131874833109524,default_credit_card_clients,4.0448188354492185,4,42,3.0,dp_uniform,0.4758226953999187,0.21255695283643,0.0
0.5,0.9069378256622728,default_credit_card_clients,4.0448188354492185,5,42,3.0,dp_uniform,0.47543677747448454,0.21231030691338415,0.0
0.5,0.9927676942037622,default_credit_card_clients,4.0448188354492185,6,42,3.0,dp_uniform,0.4761547057300247,0.21155608409683077,0.0
0.5,1.0719286527274248,default_credit_card_clients,4.0448188354492185,7,42,3.0,dp_uniform,0.47855535705469054,0.21285816654819772,0.0
0.5,1.1458571373246145,default_credit_card_clients,4.0448188354492185,8,42,3.0,dp_uniform,0.4806965465887576,0.214896630115475,0.0
0.5,1.2162680122330511,default_credit_card_clients,4.0448188354492185,9,42,3.0,dp_uniform,0.48447813921057103,0.21820617250754146,0.0
0.5,1.2837980948114536,default_credit_card_clients,4.0448188354492185,10,42,3.0,dp_uniform,0.4881675347300943,0.22160823516272854,0.0
0.5,1.3472603319778735,default_credit_card_clients,4.0448188354492185,11,42,3.0,dp_uniform,0.49222269580296624,0.2253929209687508,0.0
0.5,1.4092274559802087,default_credit_card_clients,4.0448188354492185,12,42,3.0,dp_uniform,0.49568688856443566,0.22890313384377117,0.0
0.5,1.4687804724920195,default_credit_card_clients,4.0448188354492185,13,42,3.0,dp_uniform,0.502907483482612,0.23481211410488123,0.0
0.5,1.5253237698984243,default_credit_card_clients,4.0448188354492185,14,42,3.0,dp_uniform,0.5090086141314479,0.24058985018513723,0.0
0.5,1.5818670673048292,default_credit_card_clients,4.0448188354492185,15,42,3.0,dp_uniform,0.5160659748357329,0.24605441391690056,0.0
0.5,1.6370548568564534,default_credit_card_clients,4.0448188354492185,16,42,3.0,dp_uniform,0.5222910425728937,0.25322450837497823,0.0
0.5,1.6877830003216037,default_credit_card_clients,4.0448188354492185,17,42,3.0,dp_uniform,0.5297171916863405,0.2591859679865184,0.0
0.5,1.7385111437867544,default_credit_card_clients,4.0448188354492185,18,42,3.0,dp_uniform,0.5363473221024164,0.263702749000057,0.0
0.5,1.7884498864330975,default_credit_card_clients,4.0448188354492185,19,42,3.0,dp_uniform,0.54249278796984,0.27019600713756675,0.0
0.5,1.8372482924633853,default_credit_card_clients,4.0448188354492185,20,42,3.0,dp_uniform,0.5479833017444902,0.27557323282731716,0.0
0.5,1.8850070598007793,default_credit_card_clients,4.0448188354492185,21,42,3.0,dp_uniform,0.5536985144678918,0.2816197622005192,0.0
0.5,1.9318031448199542,default_credit_card_clients,4.0448188354492185,22,42,3.0,dp_uniform,0.5598641327074007,0.2895130547079948,0.0
0.5,1.9776513421248012,default_credit_card_clients,4.0448188354492185,23,42,3.0,dp_uniform,0.5682575956809436,0.2979012540030558,0.0
0.5,2.022651823150138,default_credit_card_clients,4.0448188354492185,24,42,3.0,dp_uniform,0.5753210020968543,0.3071518427717929,0.0
0.5,2.066891503734586,default_credit_card_clients,4.0448188354492185,25,42,3.0,dp_uniform,0.5824317665871656,0.3160564020076012,0.0
0.5,2.110311929861899,default_credit_card_clients,4.0448188354492185,26,42,3.0,dp_uniform,0.588342457319795,0.32349223838760394,0.0
