alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.1,dp_uniform,0.0008487243574537562,0.003060094765725885,-0.0016594714042138525,0.005006130386127239,-0.004563275081589824,909,3.0,ha_uniform
0.1,scheduler,-0.008259702235307365,-0.008254972235624325,-0.00800055345278261,0.004535875543725976,-0.01609997067647123,909,3.0,ha_uniform
0.1,dp_uniform,0.009239049190051363,0.010306090040612947,0.01152816989194283,0.005911684187052735,0.0204536735260189,2026,3.0,full_ha_dp
0.1,scheduler,-0.0010981973920310972,-0.0003610945232806473,0.011510431020705925,0.006542055161751825,0.021727922272458122,2026,3.0,full_ha_dp
0.1,dp_uniform,0.0024077292454803834,0.0031304919556127686,0.0027996776685834668,0.004511638952117425,0.0030431463118389956,2026,3.0,ha_uniform
0.1,scheduler,-0.007929517336602077,-0.007536692608280826,0.0027819387973465615,0.005142009926816515,0.004317395058278217,2026,3.0,ha_uniform
0.1,dp_uniform,-0.0011252894862838758,-0.0033559871693200627,-0.0037724934934626475,-0.00026876071707615523,-0.006549123929547651,4096,3.0,full_ha_dp
0.1,scheduler,-0.007704959352989094,-0.009392581816603185,-0.006609584054109274,-0.0004413840613068931,-0.010737259711875669,4096,3.0,full_ha_dp
0.1,dp_uniform,-0.010240085946443767,-0.013236348178371937,-0.01064001686160354,-0.001446356823923134,-0.01878429864727882,4096,3.0,ha_uniform
0.1,scheduler,-0.016819755813148984,-0.01927294282565506,-0.013477107422250167,-0.0016189801681538718,-0.022972434429606836,4096,3.0,ha_uniform
0.1,dp_uniform,0.0040942927439470145,0.005463613738881212,0.006786811504012724,-0.0025145970102004034,0.00853933652230926,27182,3.0,full_ha_dp
0.1,scheduler,-0.02192677684225841,-0.03681908843483156,-0.014170294131449213,-0.00547077890195391,-0.014326955135083308,27182,3.0,full_ha_dp
0.1,dp_uniform,-0.021958303654320388,-0.034017620895203105,-0.012909221648970015,-0.0011899369449270836,0.0024795153279129067,27182,3.0,ha_uniform
0.1,scheduler,-0.04797937324052581,-0.07630032306891588,-0.03386632728443195,-0.00414611883668059,-0.02038677632947966,27182,3.0,ha_uniform
0.1,dp_uniform,0.0061851412441497056,0.00819587822523582,0.0060555668528872175,0.0012702239220015454,0.011028190585028408,31415,3.0,full_ha_dp
0.1,scheduler,-0.015691805496179545,-0.01629442667872394,0.0005199101897075398,-0.0008393491347817306,0.0007410495113704951,31415,3.0,full_ha_dp
0.1,dp_uniform,-0.005447526725625207,-0.007347436426517362,-0.01067484955421405,-3.719027612336667e-05,-0.022106768871272442,31415,3.0,ha_uniform
0.1,scheduler,-0.027324473465954457,-0.03183774133047712,-0.016210506217393728,-0.0021467633329066427,-0.032393909944930355,31415,3.0,ha_uniform
0.1,dp_uniform,0.005381973533281625,0.011823088860280051,0.011238058715986377,0.007222367671207652,0.018830633742504987,65537,3.0,full_ha_dp
0.1,scheduler,-0.0004458100866768788,0.0006349916870824202,0.005124759900346332,0.005445376920028666,0.008370705337143014,65537,3.0,full_ha_dp
0.1,dp_uniform,0.001001036756392626,0.004678132830617465,0.006126441706602037,0.004266150541443081,0.010478799198853417,65537,3.0,ha_uniform
0.1,scheduler,-0.004826746863565878,-0.006509964342580166,1.3142890961992393e-05,0.002489159790264095,1.8870793491443383e-05,65537,3.0,ha_uniform
0.5,dp_uniform,0.02284460216630324,0.03248312025847433,0.01922087329753197,0.012887148338530052,0.03449405397707045,42,3.0,full_ha_dp
0.5,scheduler,0.01758381737606296,0.024044776815051017,0.016941105818656155,0.009942900339110994,0.030562429531577173,42,3.0,full_ha_dp
