alpha,comparator,delta_auc_ci95,delta_auc_mean,delta_auc_std,delta_auprc_ci95,delta_auprc_mean,delta_auprc_std,delta_balanced_accuracy_ci95,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_client_auprc_mean_ci95,delta_client_auprc_mean_mean,delta_client_auprc_mean_std,delta_f1_ci95,delta_f1_mean,delta_f1_std,num_runs,target_epsilon,v5_variant
0.1,dp_uniform,0.027664883200724126,0.03142493738862347,0.044634715365723165,0.022856482005552087,0.03021757823994662,0.036876807365407105,0.013765080974879334,0.017510274144964432,0.02220867758023964,0.008708033437557687,0.00648180606753383,0.014049601838565271,0.02412419625231882,0.03095009506769946,0.03892214636644161,10,3.0,full_ha_dp
0.1,scheduler,0.01852954912012724,0.016022726715983714,0.029895703691617873,0.017213895577646864,0.018354371176799687,0.02777301909676732,0.013351442452414085,0.010089439733404471,0.02154131030525142,0.006245315178611943,0.004624149479603301,0.010076235035732165,0.018069359875958823,0.01650696624815728,0.02915323115779973,10,3.0,full_ha_dp
0.1,dp_uniform,0.020786656800661937,0.018654116628414673,0.03353733695424509,0.017117420710208366,0.018178170105414015,0.027617365873262998,0.010388311552023006,0.012015669880487235,0.016760574259097685,0.006637033567758665,0.004575678748040324,0.010708236214852482,0.018180687447002998,0.01614632981369516,0.029332847836816976,10,3.0,ha_uniform
0.1,scheduler,0.020006753357519273,0.003251905955774925,0.0322790353035622,0.01667254962664117,0.00631496304226708,0.026899607766518386,0.011517349054508515,0.004594835468927272,0.01858217123440494,0.004217297116415984,0.0027180221601097953,0.00680421655996673,0.0181908704475976,0.0017032009941529813,0.029349277160946458,10,3.0,ha_uniform
0.5,dp_uniform,0.009901483795561546,0.019565087994427244,0.01597512296388954,0.011695021253768317,0.039007241055817946,0.01886882879897242,0.01058574712052952,0.004482693961648831,0.017079118181348087,0.008562770161009389,0.014804183626503264,0.013815233055773667,0.009997492626175402,0.024283223077883533,0.016130024280332948,10,3.0,full_ha_dp
0.5,scheduler,0.006329392375300834,0.013416488248925796,0.010211885770843828,0.009646939411938801,0.029222496091511573,0.015564439281312221,0.008138477871746456,0.0004553627540365035,0.013130676919182918,0.006407098777944669,0.012997980394400704,0.010337257822442119,0.008027610759640234,0.019071631648970237,0.012951803147825321,10,3.0,full_ha_dp
0.5,dp_uniform,0.008672700092366509,0.015818873961729006,0.013992594773179007,0.009854913461570917,0.031973256515704686,0.01589998606245834,0.00866932948741195,-0.000270933667795159,0.013987156615653976,0.006006327934216897,0.014863020286377215,0.00969065135000989,0.008577840143795267,0.01879636849414932,0.013839547071030252,10,3.0,ha_uniform
0.5,scheduler,0.00519448169015083,0.00967027421622756,0.008380812961692682,0.008006748748133417,0.022188511551398317,0.012918144233062982,0.010671331785535506,-0.004298264875407487,0.017217201076348814,0.0052282646388937285,0.013056817054274656,0.008435318606643847,0.007731275099405106,0.013584777065236026,0.012473693128298385,10,3.0,ha_uniform
