alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.1,scheduler,-0.09202380952380951,-0.04862290288588372,-0.050000000000000044,-0.02908429132985768,0.016328828828828856,2026,3.0,full_ha_dp
0.1,dp_uniform,-0.0909523809523809,-0.0716756127705731,-0.06428571428571428,-0.025664040117457543,-0.019186289007697255,2026,3.0,ha_uniform
0.1,scheduler,-0.07750000000000001,-0.055364897508240696,-0.06785714285714295,-0.025018494953004844,-0.02145365704687735,2026,3.0,ha_uniform
0.1,dp_uniform,0.03392857142857153,0.030976060263837313,0.008333333333333415,0.0015780141843971807,0.024630541871921208,4096,3.0,full_ha_dp
0.1,scheduler,0.035357142857142976,0.036874646919390075,0.0023809523809524835,0.001071428571428612,0.006501462829136551,4096,3.0,full_ha_dp
0.1,dp_uniform,0.02238095238095228,0.020028875802752255,0.016666666666666607,0.0003958436417614841,0.008210180623973773,4096,3.0,ha_uniform
0.1,scheduler,0.023809523809523725,0.025927462458305017,0.010714285714285676,-0.00011074197120708451,-0.009918898418810884,4096,3.0,ha_uniform
0.1,dp_uniform,0.020476190476190315,0.025979705441778078,-0.011904761904761862,0.0034777477973926274,-0.0319442559160219,27182,3.0,full_ha_dp
0.1,scheduler,0.010476190476190528,0.016808632652422273,0.0035714285714286698,0.002695202705877975,-0.007290167865707409,27182,3.0,full_ha_dp
0.1,dp_uniform,0.06440476190476185,0.06611277566325463,-0.005952380952380931,0.006940481799182496,0.026685475812613824,27182,3.0,ha_uniform
0.1,scheduler,0.05440476190476207,0.056941702873898825,0.009523809523809601,0.006157936707667844,0.05133956386292832,27182,3.0,ha_uniform
0.1,dp_uniform,0.0776190476190477,0.029162261814277834,0.06904761904761902,0.0,0.056790910056281174,31415,3.0,full_ha_dp
0.1,scheduler,0.06095238095238098,0.03695109069356306,0.055952380952380865,0.0,0.0532578152441166,31415,3.0,full_ha_dp
0.1,dp_uniform,0.0865476190476191,0.04305996819390645,0.04404761904761911,0.0,0.035228251507321284,31415,3.0,ha_uniform
0.1,scheduler,0.06988095238095238,0.050848797073191676,0.030952380952380953,0.0,0.03169515669515671,31415,3.0,ha_uniform
0.1,dp_uniform,0.011428571428571455,0.009242667398466298,-0.026190476190476097,-0.0007224478805744061,-0.04871794871794871,65537,3.0,full_ha_dp
