alpha,auc_ci95,auc_mean,auc_n,auc_std,auprc_ci95,auprc_mean,auprc_n,auprc_std,balanced_accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_n,balanced_accuracy_std,brier_ci95,brier_mean,brier_n,brier_std,client_auc_mean_ci95,client_auc_mean_mean,client_auc_mean_n,client_auc_mean_std,client_auc_min_ci95,client_auc_min_mean,client_auc_min_n,client_auc_min_std,client_auprc_mean_ci95,client_auprc_mean_mean,client_auprc_mean_n,client_auprc_mean_std,client_auprc_min_ci95,client_auprc_min_mean,client_auprc_min_n,client_auprc_min_std,client_f1_mean_ci95,client_f1_mean_mean,client_f1_mean_n,client_f1_mean_std,client_f1_min_ci95,client_f1_min_mean,client_f1_min_n,client_f1_min_std,communication_cost_ci95,communication_cost_mean,communication_cost_n,communication_cost_std,communication_mb_mean,dataset,f1_ci95,f1_mean,f1_n,f1_std,method_family,num_runs,paper_method,split,target_epsilon,training_time_ci95,training_time_mean,training_time_n,training_time_std
0.1,0.03729598111965393,0.6636927879071213,10,0.052136186576860755,0.0476486724355875,0.4255384936425619,10,0.0666082511215236,0.03606155028931034,0.6278025682982827,10,0.05041057126510515,0.015304529061889444,0.20735399919547265,10,0.02139425639673478,0.06364309453024262,0.6146974815232534,10,0.0889669114780028,0.14544577009916806,0.438736270464181,10,0.20331916681257114,0.09752062181519601,0.48962161837534335,10,0.13632442910502293,0.0,0.0,10,0.0,0.07789576987242113,0.3441641698495822,10,0.10889077776470196,0.0,0.0,10,0.0,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.041930143053829964,0.4309381958982904,10,0.05861429826542194,privacy_matched,10,ha_uniform,noniid_alpha=0.1,3.0,0.1823478588057987,37.75137572288513,10,0.25490472976404155
0.5,0.017274155112943772,0.6808935021063297,10,0.024147603760220543,0.019235735988303047,0.4579614196736129,10,0.026889704743573946,0.015450390491014746,0.6564252529925879,10,0.021598156614799746,0.014138896102909167,0.19477450563111187,10,0.01976481387759137,0.044302967721785894,0.6592721606469867,10,0.06193127843027773,0.1464431510409317,0.4483247625906781,10,0.20471340922976797,0.04532776073154904,0.4920448912755459,10,0.06336384027623809,0.04536216462190259,0.041206372987473275,10,0.0634119335986979,0.045954755614528955,0.3828695450603327,10,0.06424031868545069,0.06963353398238245,0.05822171577395672,10,0.09734096840258567,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.026284196699973884,0.46647498900092843,10,0.03674277340436034,privacy_matched,10,ha_uniform,noniid_alpha=0.5,3.0,0.16007895661653493,37.19259140491486,10,0.22377495104400955
,0.0050295146006928085,0.7824811955870203,10,0.007030776607578858,0.007964307219870017,0.5577570508123012,10,0.011133333799114579,0.0050859125658009015,0.711482274594179,10,0.007109615526496084,0.0010477872126148763,0.13384760591941972,10,0.0014647055250934487,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10,0.0,0.0,default_credit_card_clients,0.005120454386230976,0.5449985059408842,10,0.00715790166190754,reference,10,hist_gbdt,iid,,0.0179537105097408,0.1695652961730957,10,0.025097556701344594
,0.005885669458572173,0.7259830680861419,10,0.008227598572548215,0.0057318284386447295,0.5071493653587897,10,0.00801254365570933,0.004185842654462064,0.6872005174590002,10,0.005851404549843391,0.0006548988095573829,0.14547846041987428,10,0.0009154854088569567,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10,0.0,0.0,default_credit_card_clients,0.005960013253834522,0.5158255103300344,10,0.00833152403218942,reference,10,logistic_regression,iid,,0.14177303584528642,1.5766037940979003,10,0.19818503834727394
0.1,0.017382851216131052,0.6776264293700234,10,0.02429955043505847,0.02332026062334175,0.44875007644634185,10,0.03259947646849426,0.015919617324864656,0.643333861199138,10,0.02225409049888188,0.0014196328518915953,0.21911187000664922,10,0.001984509885915234,0.054040835112852535,0.6310230842317981,10,0.07554387839198881,0.13631362174534434,0.47180660882785636,10,0.1905533036785503,0.09699944813769096,0.49007024126410875,10,0.135595878540763,0.0,0.0,10,0.0,0.05740180623350372,0.32201941552282143,10,0.08024219204845329,0.0,0.0,10,0.0,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.02361558384197124,0.44515284561610596,10,0.03301230986138849,privacy_matched,10,scheduler,noniid_alpha=0.1,3.0,0.3181117084432361,37.359345984458926,10,0.4446895050292856
0.5,0.020000818044854183,0.6628672289028782,10,0.02795921571096175,0.024386326650270653,0.4351215717980478,10,0.03408973401407009,0.023107973230999602,0.6312181153868421,10,0.03230271915677326,0.0021436447488371716,0.21643690895530185,10,0.002996608729002907,0.0512128222925037,0.6431909820314468,10,0.07159058906651339,0.13538911673719703,0.4483849866192795,10,0.18926093479190348,0.0441243733057806,0.4874330291325662,10,0.06168162065174752,0.04589353670952848,0.037456179326653835,10,0.06415474055726321,0.046399334280290326,0.3652935999764171,10,0.06486179680642744,0.0598374099973495,0.043173025041864835,10,0.08364693133797023,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.02851468122340628,0.431572132990181,10,0.039860775767601324,privacy_matched,10,scheduler,noniid_alpha=0.5,3.0,0.32033381540578265,36.761581778526306,10,0.4477957963699367
,0.00458545101156545,0.7830354949975578,10,0.006410018514087275,0.006431687927247,0.5589959937649362,10,0.008990879760028254,0.004282813680672353,0.7117844240132067,10,0.005986960697269288,0.0010499643191111034,0.13381359518740626,10,0.001467748910119863,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10,0.0,0.0,default_credit_card_clients,0.005313164615370873,0.5470844075844811,10,0.007427291986550662,reference,10,xgboost,iid,,0.007515941341726753,0.18543171882629395,10,0.010506561520284338
,0.017497800372404868,0.7816071428571428,10,0.024460238275368064,0.03513110223327766,0.5850829013880964,10,0.049109894570375866,0.024603841106162646,0.7103571428571429,10,0.03439379825678747,0.008432857661855938,0.1709792444055904,10,0.011788322152569518,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10,0.0,0.0,german_credit,0.031317202780976224,0.5926680978275883,10,0.0437784307648617,reference,10,centralized_mlp,iid,,0.009682066237307291,0.9449960708618164,10,0.013534595327531661
0.1,0.0539519195684195,0.5903809523809523,10,0.07541958303160477,0.042901546269734935,0.39228629960559686,10,0.05997222632590928,0.049268236673567424,0.5411904761904763,10,0.06887224581343522,0.01116187296782421,0.21815848740937263,10,0.015603222495493937,0.13036283856972852,0.5500325593104534,9,0.1695957564597168,0.15175567291846317,0.5004305523931529,9,0.197426800674441,0.1070050016523821,0.4160692483979281,10,0.1495826779005419,0.0,0.0,10,0.0,0.12567811859265435,0.32527056158883133,10,0.17568589544685662,0.0,0.0,10,0.0,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.09305178956276819,0.408508010622224,10,0.13007743237511277,privacy_matched,10,dp_uniform,noniid_alpha=0.1,3.0,0.15167458121809432,3.885460948944092,10,0.21202644435023676
0.5,0.05778195010507879,0.5815952380952382,10,0.08077359653814625,0.05060296390167093,0.3750676630438087,10,0.07073806582150441,0.05104769369917163,0.5557142857142857,10,0.07135975521008486,0.006324517904350223,0.2152555399197757,10,0.008841066398334749,0.08864720133895246,0.5794320425258547,10,0.12392024260460185,0.13749348418261026,0.42450324328368677,10,0.19220263763673143,0.06240670134096883,0.44985287559910336,10,0.08723855297761818,0.03583277532963877,0.03032660288915834,10,0.050090765923524655,0.0716555385826225,0.3632391010396867,10,0.10016753592896809,0.030970008777169215,0.019642857142857142,10,0.043293087014209954,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.07575344927784364,0.42583827069521324,10,0.10589602007571643,privacy_matched,10,dp_uniform,noniid_alpha=0.5,3.0,0.14971126875263552,3.8723928689956666,10,0.2092819227708354
,0.02076114909538346,0.7676904761904761,10,0.02902208522988923,0.02586401377992715,0.5647285811809979,10,0.036155398184341735,0.027996868592438412,0.696547619047619,10,0.03913692362242289,0.006155597888454216,0.1762315127980118,10,0.00860493249862405,0.02057702483499786,0.7670072604704788,10,0.028764697261947247,0.03127593957781754,0.6723021581441122,10,0.04372074878428213,0.02224354519514844,0.6094670375110438,10,0.031094332086466222,0.02877967287372569,0.4968770351226216,10,0.04023120855171389,0.025866006517420395,0.580711814039542,10,0.036158183839273654,0.04017868402318334,0.48235744903077027,10,0.056165927366944625,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.025514238512097262,0.5824235624894503,10,0.0356664460753988,reference,10,fedavg_iid,iid,,0.269549170296033,2.2648908376693724,10,0.376803757732125
0.1,0.039625162526372215,0.7416904761904762,10,0.055392157669360766,0.04419969573881459,0.5323103147548819,10,0.06178691415266078,0.03627799265764121,0.6729761904761905,10,0.050713136832752574,0.012391281129110018,0.2039395149575546,10,0.017321816600051092,0.1428428004452936,0.7198216602654699,9,0.18583158407820474,0.15726855459528757,0.6801270205096671,9,0.2045987934640415,0.10907007380889919,0.4481496746758048,10,0.15246944971923845,0.0,0.0,10,0.0,0.09706174521730392,0.38408004914252647,10,0.13568296385313147,0.0,0.0,10,0.0,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.03230858056225782,0.5618669332391903,10,0.04516428134236036,reference,10,fedavg_noniid,noniid_alpha=0.1,,0.04974387734940838,2.0677114009857176,10,0.06953714563037879
0.5,0.03198344018634967,0.7603809523809525,10,0.04470976643772134,0.03189335818073287,0.5582872726420232,10,0.04458384047703975,0.03306539757480557,0.6902380952380952,10,0.04622223857491427,0.014075315991781277,0.18996329198652265,10,0.019675935010838766,0.03440658410196454,0.7833220267082333,10,0.04809708806043923,0.05272107197446496,0.665216465503375,10,0.07369897673892631,0.057674317079130524,0.562523397564529,10,0.08062313594281648,0.10646758262877641,0.09484795402274622,10,0.14883141790835214,0.03980517809731313,0.46669455836624907,10,0.05564380208550323,0.08293031105805973,0.0735014005602241,10,0.11592858105351324,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.036521290448103455,0.5733872101956919,10,0.051053243691896,reference,10,fedavg_noniid,noniid_alpha=0.5,,0.034047555484746944,2.0630131483078005,10,0.047595200660999704
0.1,0.03871380647319328,0.7403214285714286,10,0.054118169754307645,0.04294249268007459,0.5307514262866599,10,0.0600294654606641,0.034272742803329516,0.6636904761904762,10,0.04790999082615713,0.012555071896585413,0.2041028623330084,10,0.017550780304887496,0.14101933600399888,0.7149651702630161,9,0.1834593449133345,0.1567672954401699,0.6789646684447294,9,0.20394667951402906,0.10899760276958402,0.447152808353386,10,0.15236814219189299,0.0,0.0,10,0.0,0.09761496206292576,0.37236756415427186,10,0.13645630767771863,0.0,0.0,10,0.0,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.03337135386904478,0.5458767728931567,10,0.04664993598256913,reference,10,fedprox_noniid,noniid_alpha=0.1,,0.056234663678498754,2.421968936920166,10,0.0786106392595801
0.5,0.032031794959242244,0.7604642857142856,10,0.04477736174921942,0.03194635328777481,0.5582185487461484,10,0.04465792252838825,0.031417438810194084,0.6917857142857142,10,0.04391855107177252,0.01407007699740612,0.18994871922265322,10,0.01966861140169863,0.034489657459445065,0.7831500935294085,10,0.04821321660660285,0.0527312481123498,0.6656881636165826,10,0.07371320199879261,0.057718866416395544,0.5625053409932614,10,0.08068541162212017,0.10651675183560484,0.0949235588614559,10,0.14890015171998774,0.03946104384527785,0.46732376588253655,10,0.05516273557289324,0.08284919860610143,0.07531135531135531,10,0.11581519366425441,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.03365297219996559,0.5750890006333648,10,0.04704361126348603,reference,10,fedprox_noniid,noniid_alpha=0.5,,0.05765886472894864,2.419635796546936,10,0.08060153504674275
0.1,0.05954236029548082,0.5973571428571429,10,0.08323448029514283,0.04760874616953124,0.39784215592276606,10,0.06655243805014337,0.04496873197206904,0.5483333333333335,10,0.06286195267792942,0.00917371087833099,0.21296661366634145,10,0.012823963536993542,0.1335302638355498,0.5386173051895468,9,0.1737164237440461,0.16137434173591406,0.4827046235503093,9,0.2099402242246541,0.10897934219182111,0.4122122907085549,10,0.15234261566435123,0.0,0.0,10,0.0,0.10338457380520734,0.3382468490203624,10,0.14452166874990993,0.0,0.0,10,0.0,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.0491964465040273,0.4373264931087353,10,0.068771890076405,privacy_matched,10,full_ha_dp,noniid_alpha=0.1,3.0,0.1234893072852915,3.8861706256866455,10,0.1726261482227227
0.5,0.07641459240071193,0.5899761904761905,10,0.10682023443268114,0.06473701126183945,0.38716325765458304,10,0.0904961016241236,0.06034288980751407,0.5564285714285713,10,0.084353543388449,0.00573045444549453,0.21080935358512187,10,0.008010622945727085,0.10021048050193361,0.5744925865771452,10,0.14008459226864162,0.143601843578567,0.4075938720806048,10,0.2007415352762494,0.0696564522125656,0.45726427829154465,10,0.09737300587925123,0.040334322468364006,0.03185596032089721,10,0.056383494911030375,0.048959941900018566,0.372762959185725,10,0.06844127943711581,0.05027015917453554,0.02222222222222222,10,0.07027283689263066,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.05843787854132643,0.43728609858650114,10,0.08169052126586855,privacy_matched,10,full_ha_dp,noniid_alpha=0.5,3.0,0.11436364800415569,3.8606180906295777,10,0.15986935618682593
0.1,0.06104062062081694,0.6056785714285714,10,0.0853289038098863,0.053886338641330495,0.40422789740830856,10,0.07532790721700088,0.0492450056581148,0.5464285714285715,10,0.06883977109311289,0.008721724993093356,0.21252961517368676,10,0.012192130837184532,0.142412296560644,0.5281306307648441,9,0.18527151931759475,0.15470181146172904,0.47067122896568353,9,0.20125958462086488,0.10738300942905049,0.4105576322625872,10,0.15011109633545744,0.0,0.0,10,0.0,0.10449692842597968,0.34407825075980913,10,0.14607663328783596,0.0,0.0,10,0.0,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.04782464327374798,0.4368511593223435,10,0.06685424139111827,privacy_matched,10,ha_uniform,noniid_alpha=0.1,3.0,0.1119238917776712,3.7812792301177978,10,0.15645881215480362
0.5,0.0750831064662353,0.5892023809523809,10,0.10495894544066807,0.06185495357876676,0.3816572385217939,10,0.08646726279004423,0.056790606952637164,0.5629761904761905,10,0.07938779436842792,0.006434772539044914,0.2119680524959106,10,0.008995191749990316,0.0857711713182884,0.5904597450126176,10,0.11989982986155226,0.09500950027117556,0.47162066318875784,10,0.13281412323811992,0.06553089781744977,0.45656838228700813,10,0.09160587850467734,0.03631351724123468,0.031058687316040258,10,0.05076279677633611,0.05119978608505698,0.3895163703116863,10,0.07157236570508696,0.04646780685760465,0.027407407407407408,10,0.06495751486931482,0.0,1666000.0,10,0.0,1.5888214111328125,german_credit,0.0500387224786249,0.4533317452067826,10,0.0699493107003576,privacy_matched,10,ha_uniform,noniid_alpha=0.5,3.0,0.12927653005299514,3.7887874364852907,10,0.18071612781089483
,0.021246213255743076,0.780047619047619,10,0.029700158169842814,0.038373125859386126,0.6172930227845257,10,0.053641931095038016,0.024519030285618637,0.7126190476190477,10,0.03427524090473838,0.008541608000846046,0.16669757676716573,10,0.011940344643831915,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10,0.0,0.0,german_credit,0.03146430012767833,0.6002805880475031,10,0.043984058676566656,reference,10,hist_gbdt,iid,,0.029031575767852688,0.09584884643554688,10,0.04058334451631881
