alpha,comparator,delta_auc_ci95,delta_auc_mean,delta_auc_std,delta_auprc_ci95,delta_auprc_mean,delta_auprc_std,delta_balanced_accuracy_ci95,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_client_auprc_mean_ci95,delta_client_auprc_mean_mean,delta_client_auprc_mean_std,delta_f1_ci95,delta_f1_mean,delta_f1_std,num_runs,target_epsilon,v5_variant
0.1,dp_uniform,0.030098456463438134,0.006976190476190492,0.04856105942851071,0.019184062519421192,0.005555856317169194,0.03095170017165263,0.02172772024765813,0.0071428571428571565,0.03505565527834565,0.005944849050434186,-0.003856957689373203,0.009591460890439402,0.04424620390360988,0.02881848248651132,0.07138713375083698,10,3.0,full_ha_dp
0.1,scheduler,0.029421374945840035,0.010190476190476217,0.04746865138911613,0.02338649526439514,0.012216754359109827,0.037731934451137934,0.0189479501480982,0.002500000000000008,0.03057075482618116,0.008526410828331096,-0.0008191524298967106,0.0137565706550251,0.04256526891944497,0.02320126975051995,0.06867510153215321,10,3.0,full_ha_dp
0.1,dp_uniform,0.030627369044171928,0.01529761904761906,0.04941441067250891,0.02479503880936601,0.011941597802711656,0.040004488423401076,0.022488943785615906,0.005238095238095259,0.03628381863981413,0.0061686683184754305,-0.005511616135340849,0.009952572457399642,0.05376566617433934,0.028343148700119412,0.08674590052407347,10,3.0,ha_uniform
0.1,scheduler,0.029343077611315826,0.018511904761904785,0.04734232592390356,0.028408769767721203,0.01860249584465229,0.04583490713741408,0.020954580512251852,0.0005952380952381098,0.03380826624086414,0.008052010872852948,-0.0024738108758643575,0.012991170460538659,0.05435005760659066,0.02272593596412804,0.08768876173376845,10,3.0,ha_uniform
0.5,dp_uniform,0.022377362789928967,0.00838095238095234,0.03610379308371201,0.020354351652393198,0.012095594610774325,0.03283985281508895,0.02298119467394974,0.0007142857142857118,0.03707801965378153,0.017211188166005687,0.007411402692441321,0.02776865093995621,0.028602609504357203,0.011447827891287862,0.04614764951946354,10,3.0,full_ha_dp
0.5,scheduler,0.020240893730572883,0.013226190476190437,0.032656799013282056,0.019043482548332668,0.013920284621750083,0.03072488746653,0.027852698962688913,0.0023809523809523725,0.04493773862505416,0.01391047284738827,0.008636807760202675,0.022443253840650386,0.04852004016038659,0.015720233469216898,0.07828257095390975,10,3.0,full_ha_dp
0.5,dp_uniform,0.023095795165375622,0.007607142857142845,0.03726291688535316,0.020216147603701065,0.00658957547798526,0.03261687343971959,0.019308480194137688,0.0072619047619047585,0.03115243651516593,0.020992083702352237,0.006715506687904826,0.0338687741491496,0.03643036919696957,0.027493474511569412,0.05877701156288936,10,3.0,ha_uniform
0.5,scheduler,0.01959559209693929,0.012452380952380942,0.03161566486016488,0.017076002610509417,0.00841426548896102,0.02755054162254636,0.025513600827019558,0.00892857142857142,0.04116382139068237,0.015676559789647104,0.00794091175566618,0.02529267082198722,0.05776440568914039,0.03176588008949845,0.09319749472636321,10,3.0,ha_uniform
