alpha,auc_mean,auc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,baseline_variant,brier_mean,brier_std,client_auprc_mean_mean,client_auprc_mean_std,client_auprc_min_mean,client_auprc_min_std,client_f1_mean_mean,client_f1_mean_std,client_f1_min_mean,client_f1_min_std,communication_cost_mean,communication_cost_std,dataset,f1_mean,f1_std,num_runs,precision_mean,precision_std,recall_mean,recall_std,reference_scope,split,training_time_mean,training_time_std
None,0.7816071428571428,0.024460238275368064,0.5850829013880964,0.049109894570375866,0.7103571428571429,0.03439379825678747,centralized_mlp,0.17097924440559037,0.011788322152569518,,,,,,,,,0.0,0.0,german_credit,0.5926680978275884,0.0437784307648617,10,0.5258250447851717,0.04742007724264483,0.7000000000000001,0.12521586299538495,centralized_upper_reference,iid,0.9449960708618164,0.013534595327531661
None,0.7676904761904761,0.029022085229889225,0.5647285811809978,0.036155398184341735,0.6965476190476191,0.03913692362242289,fedavg_iid,0.1762315127980118,0.008604932498624051,0.6094670375110438,0.031094332086466222,0.49687703512262166,0.04023120855171389,0.580711814039542,0.036158183839273654,0.48235744903077027,0.056165927366944625,1666000.0,0.0,german_credit,0.5824235624894503,0.0356664460753988,10,0.501077571704738,0.0674552976962024,0.7216666666666667,0.10658851303546323,non_private_federated_reference,iid,2.2648908376693724,0.376803757732125
0.1,0.7416904761904761,0.05539215766936076,0.5323103147548819,0.06178691415266078,0.6729761904761905,0.050713136832752574,fedavg_noniid,0.20393951495755464,0.017321816600051092,0.44814967467580485,0.15246944971923845,0.0,0.0,0.38408004914252647,0.13568296385313147,0.0,0.0,1666000.0,0.0,german_credit,0.5618669332391902,0.04516428134236036,10,0.4647110229087158,0.08302206813291085,0.7466666666666667,0.10909277963229848,non_private_federated_reference,noniid_alpha=0.1,2.0677114009857176,0.06953714563037879
0.5,0.7603809523809524,0.04470976643772135,0.5582872726420232,0.04458384047703975,0.6902380952380953,0.04622223857491427,fedavg_noniid,0.18996329198652265,0.019675935010838766,0.562523397564529,0.08062313594281648,0.09484795402274622,0.14883141790835214,0.46669455836624907,0.05564380208550323,0.07350140056022408,0.11592858105351322,1666000.0,0.0,german_credit,0.5733872101956918,0.051053243691896,10,0.48760516217150246,0.06860083523060803,0.7333333333333334,0.1358557695626387,non_private_federated_reference,noniid_alpha=0.5,2.0630131483078005,0.04759520066099971
0.1,0.7403214285714286,0.054118169754307645,0.5307514262866599,0.06002946546066411,0.6636904761904762,0.04790999082615713,fedprox_noniid,0.2041028623330084,0.017550780304887496,0.447152808353386,0.15236814219189299,0.0,0.0,0.37236756415427186,0.13645630767771863,0.0,0.0,1666000.0,0.0,german_credit,0.5458767728931566,0.04664993598256913,10,0.4755348830098791,0.09538093246079354,0.7066666666666667,0.16836175044334054,non_private_federated_reference,noniid_alpha=0.1,2.421968936920166,0.0786106392595801
0.5,0.7604642857142857,0.04477736174921942,0.5582185487461485,0.04465792252838825,0.6917857142857143,0.04391855107177252,fedprox_noniid,0.18994871922265322,0.01966861140169863,0.5625053409932614,0.08068541162212017,0.0949235588614559,0.14890015171998774,0.46732376588253655,0.05516273557289324,0.07531135531135531,0.1158151936642544,1666000.0,0.0,german_credit,0.5750890006333647,0.04704361126348603,10,0.4901965370568782,0.06678177276654268,0.73,0.1290516214065299,non_private_federated_reference,noniid_alpha=0.5,2.419635796546936,0.08060153504674275
None,0.7800476190476191,0.029700158169842818,0.6172930227845256,0.053641931095038,0.7126190476190476,0.03427524090473838,hist_gbdt,0.16669757676716573,0.011940344643831915,,,,,,,,,0.0,0.0,german_credit,0.6002805880475031,0.043984058676566656,10,0.5178628804514039,0.0903727164631392,0.7366666666666667,0.08670939117834076,centralized_upper_reference,iid,0.09584884643554688,0.0405833445163188
None,0.7948690476190476,0.026660078669400136,0.5961696205207794,0.04230950799614445,0.7147619047619047,0.0399798387083966,logistic_regression,0.16433330241467,0.009741122015910217,,,,,,,,,0.0,0.0,german_credit,0.601630934941063,0.043041758955242176,10,0.5349370616738677,0.07497290716581713,0.7216666666666667,0.13449723481484482,centralized_upper_reference,iid,0.536429476737976,0.10547543371925235
None,0.7916904761904762,0.02981058452733567,0.6347969654759471,0.0553265793595113,0.6927380952380953,0.03642351349884998,xgboost,0.16586601186072342,0.015182731069189536,,,,,,,,,0.0,0.0,german_credit,0.5747747734091643,0.04144692352375836,10,0.5156495473485232,0.09537971833053518,0.7033333333333334,0.16193277068654824,centralized_upper_reference,iid,0.058419013023376466,0.004926381994571334
