alpha,comparator_rounds,comparator_variant,contrast_family,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,improved_pairs,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_rounds,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.1,75,dp_uniform,full_vs_dp,give_me_some_credit,0.019125167511851424,0.021545567663463848,-0.016704767360239,0.0154028525748661,2,0.0024204001516124228,0.0024204001516124228,balanced_accuracy,maximize,3,5,"[42, 123, 2026, 27182, 31415]",0.7430344928815764,,2,75,full_ha_dp,0,1.0,
0.1,100,dp_uniform,full_vs_dp,give_me_some_credit,0.01784725036557617,0.01730240779260152,-0.018392092938550816,0.014373655345886333,2,-0.0005448425729746465,-0.0005448425729746465,balanced_accuracy,maximize,3,5,"[42, 123, 2026, 27182, 31415]",0.9365252789334223,,2,100,full_ha_dp,0,1.0,
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.00021117622867011974,0.00028225888977205553,-0.00014009356756818395,0.00017007518054450678,3,7.108266110193579e-05,-7.108266110193579e-05,brier,minimize,3,5,"[42, 123, 2026, 27182, 31415]",0.40292217131720176,,2,75,dp_uniform,0,1.0,
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.00013929337117878505,0.00018088875941585792,-9.769798294171218e-05,0.00011218282190696645,4,4.159538823707287e-05,-4.159538823707287e-05,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.45365959322931987,,1,100,dp_uniform,0,0.625,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0004059923229184421,0.00019318107099049528,-0.0006188035748463888,0.00032697438558721554,4,-0.0002128112519279468,0.0002128112519279468,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.21927298567367884,,1,75,full_ha_dp,0,0.1875,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0005794424969647557,0.0002122177863745197,-0.0009466672075549916,0.0004666661011376644,4,-0.000367224710590236,0.000367224710590236,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.15329076143443965,,1,100,full_ha_dp,0,0.1875,
0.1,50,dp_uniform,full_vs_dp,give_me_some_credit,0.002777906497785362,0.0017600951207403387,-0.0037957178748303858,0.0022372449405024036,4,-0.0010178113770450234,0.0010178113770450234,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.36654789425816103,,1,50,full_ha_dp,0,0.3125,
0.1,75,dp_uniform,full_vs_dp,give_me_some_credit,0.0029534320933679407,0.0016517268032930348,-0.004255137383442847,0.002378608140076926,4,-0.001301705290074906,0.001301705290074906,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.28821800266793224,,1,75,full_ha_dp,0,0.1875,
0.1,100,dp_uniform,full_vs_dp,give_me_some_credit,0.0028544404565354646,0.0014278089806631323,-0.004281071932407797,0.002298883160552932,4,-0.0014266314758723322,0.0014266314758723322,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.23754346755681885,,1,100,full_ha_dp,0,0.1875,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.008920528143966336,0.016564158842180633,-0.0012768974457520368,0.007184333408128992,5,0.007643630698214299,0.007643630698214299,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0760702605810074,,5,75,dp_uniform,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.0151291182833999,0.02653425074604575,-0.003723985820754049,0.012184550977789642,5,0.01140513246264585,0.01140513246264585,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.10447220085737166,,5,100,dp_uniform,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0008205444949840537,0.0014788398175813225,-0.00016224917238678502,0.0006608426242293256,5,0.0006582953225972687,0.0006582953225972687,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.08986519665187247,,5,75,full_ha_dp,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0009656147333762152,0.0022730623137466174,0.00034183284699418695,0.0007776779666424302,5,0.0013074475803704021,0.0013074475803704021,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.019786509398022834,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,full_vs_dp,give_me_some_credit,0.02544870391976634,0.05111439502331666,0.00021698718378398638,0.020495644519436258,5,0.025665691103550325,0.025665691103550325,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.04880566329015104,,5,50,full_ha_dp,0,0.0625,
0.5,75,dp_uniform,full_vs_dp,give_me_some_credit,0.016550232826557976,0.03523058855449127,0.00213012290137532,0.013329075217208608,5,0.018680355727933296,0.018680355727933296,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0350568284714548,,5,75,full_ha_dp,0,0.0625,
0.5,100,dp_uniform,full_vs_dp,give_me_some_credit,0.010983530507350481,0.02655153672862536,0.004584475713924396,0.00884581539227974,5,0.015568006221274877,0.015568006221274877,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.017026627765177306,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.0037956755049764084,0.0156790426314026,0.008087691621449783,0.0030569264394130474,5,0.011883367126426191,0.011883367126426191,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0009643036152276296,0.007714428921821037,5,75,dp_uniform,0,0.0625,0.5
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.008707087046256407,0.0268289503936249,0.009414776301112086,0.007012434168061872,5,0.018121863347368494,0.018121863347368494,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.004454372278295773,0.031180605948070414,5,100,dp_uniform,0,0.0625,0.5
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0054940211095697924,0.010286891514988052,-0.0007011507041515333,0.004424724496737951,5,0.004792870405418259,0.004792870405418259,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.07259697428867488,0.3834773607677584,5,75,full_ha_dp,0,0.0625,0.5
