alpha,composed_epsilon,dataset,mean_noise_multiplier,round,seed,target_epsilon,v5_variant,validation_auc,validation_auprc,validation_f1_fixed_0_5
0.5,0.49442138372251254,german_credit,7.435753466796875,1,42,3.0,ha_uniform,0.5282738095238095,0.3521550297675344,0.0
0.5,0.6472146990510717,german_credit,7.435753466796875,2,42,3.0,ha_uniform,0.5327380952380952,0.3570108389254109,0.0
0.5,0.7670842202150278,german_credit,7.435753466796875,3,42,3.0,ha_uniform,0.5424107142857142,0.3633107185935248,0.0
0.5,0.8700177103240878,german_credit,7.435753466796875,4,42,3.0,ha_uniform,0.5409226190476191,0.36265147109370516,0.0
0.5,0.961303468822045,german_credit,7.435753466796875,5,42,3.0,ha_uniform,0.5401785714285714,0.36597633402474095,0.0
0.5,1.0452228251939664,german_credit,7.435753466796875,6,42,3.0,ha_uniform,0.5386904761904762,0.3643499464704577,0.0
0.5,1.1228412186737524,german_credit,7.435753466796875,7,42,3.0,ha_uniform,0.5409226190476191,0.36537142550141943,0.0
0.5,1.1951873861729547,german_credit,7.435753466796875,8,42,3.0,ha_uniform,0.5446428571428572,0.3675654641696628,0.0
0.5,1.2635046040231976,german_credit,7.435753466796875,9,42,3.0,ha_uniform,0.546875,0.3689175618132207,0.0
0.5,1.3293401574363626,german_credit,7.435753466796875,10,42,3.0,ha_uniform,0.5491071428571429,0.390274202420983,0.0
0.5,1.3914244462772556,german_credit,7.435753466796875,11,42,3.0,ha_uniform,0.5535714285714286,0.39278625659407945,0.0
0.5,1.4518669654640517,german_credit,7.435753466796875,12,42,3.0,ha_uniform,0.5550595238095238,0.39365126705661313,0.0
0.5,1.5090540485900403,german_credit,7.435753466796875,13,42,3.0,ha_uniform,0.5610119047619048,0.39639488525782957,0.0
0.5,1.566241131716029,german_credit,7.435753466796875,14,42,3.0,ha_uniform,0.5610119047619048,0.39643634650382065,0.0
0.5,1.6192667515457893,german_credit,7.435753466796875,15,42,3.0,ha_uniform,0.5639880952380952,0.39816606624116524,0.0
0.5,1.6716366945682584,german_credit,7.435753466796875,16,42,3.0,ha_uniform,0.5699404761904763,0.3982091548199497,0.0
0.5,1.7240066375907275,german_credit,7.435753466796875,17,42,3.0,ha_uniform,0.5706845238095238,0.398848574379972,0.0
0.5,1.7742947819729382,german_credit,7.435753466796875,18,42,3.0,ha_uniform,0.5721726190476191,0.3962663930961646,0.0
0.5,1.8214553497817656,german_credit,7.435753466796875,19,42,3.0,ha_uniform,0.5796130952380952,0.39676015304562307,0.0
0.5,1.868615917590593,german_credit,7.435753466796875,20,42,3.0,ha_uniform,0.5811011904761905,0.39575300576103456,0.0
0.5,1.9151146812260889,german_credit,7.435753466796875,21,42,3.0,ha_uniform,0.5877976190476191,0.39897120167858346,0.0
0.5,1.960645811339996,german_credit,7.435753466796875,22,42,3.0,ha_uniform,0.5892857142857143,0.39870429623270665,0.0
0.5,2.0052737898812976,german_credit,7.435753466796875,23,42,3.0,ha_uniform,0.5967261904761905,0.40429791603771636,0.0
0.5,2.049068056494133,german_credit,7.435753466796875,24,42,3.0,ha_uniform,0.5952380952380952,0.4041858710699978,0.0
0.5,2.092103583364037,german_credit,7.435753466796875,25,42,3.0,ha_uniform,0.6026785714285715,0.41076120173988817,0.0
0.5,2.134382846524298,german_credit,7.435753466796875,26,42,3.0,ha_uniform,0.6004464285714285,0.4090843332867039,0.0
0.5,2.175973986997449,german_credit,7.435753466796875,27,42,3.0,ha_uniform,0.603422619047619,0.4013390520512059,0.0
0.5,2.2168911659180752,german_credit,7.435753466796875,28,42,3.0,ha_uniform,0.6049107142857142,0.40089406026665675,0.0
0.5,2.257226379928445,german_credit,7.435753466796875,29,42,3.0,ha_uniform,0.6049107142857143,0.40361344140929856,0.0
0.5,2.29691996334498,german_credit,7.435753466796875,30,42,3.0,ha_uniform,0.6034226190476191,0.39866524500068157,0.0
0.5,2.336051414903253,german_credit,7.435753466796875,31,42,3.0,ha_uniform,0.6049107142857143,0.3988500724365538,0.0
0.5,2.3746592320803863,german_credit,7.435753466796875,32,42,3.0,ha_uniform,0.6086309523809524,0.40086264197574606,0.0
0.5,2.4127598151375973,german_credit,7.435753466796875,33,42,3.0,ha_uniform,0.6108630952380952,0.40224655496254746,0.0
0.5,2.450370306624413,german_credit,7.435753466796875,34,42,3.0,ha_uniform,0.6123511904761905,0.4023583616285892,0.0
0.5,2.4875086408939353,german_credit,7.435753466796875,35,42,3.0,ha_uniform,0.6138392857142858,0.40288339100156817,0.0
0.5,2.524193597572812,german_credit,7.435753466796875,36,42,3.0,ha_uniform,0.621279761904762,0.4057132459102033,0.0
0.5,2.5604448593516542,german_credit,7.435753466796875,37,42,3.0,ha_uniform,0.6242559523809524,0.40777098840783976,0.0
0.5,2.596283074513176,german_credit,7.435753466796875,38,42,3.0,ha_uniform,0.6257440476190477,0.4083691308684321,0.0
0.5,2.631729924655519,german_credit,7.435753466796875,39,42,3.0,ha_uniform,0.628720238095238,0.409460418281092,0.0
0.5,2.6668081981211826,german_credit,7.435753466796875,40,42,3.0,ha_uniform,0.6302083333333334,0.4121256719176101,0.0
0.5,2.7015418696973237,german_credit,7.435753466796875,41,42,3.0,ha_uniform,0.6316964285714286,0.415496199635641,0.0
0.5,2.7358443353199275,german_credit,7.435753466796875,42,42,3.0,ha_uniform,0.6272321428571428,0.40916699264547,0.0
0.5,2.7698096876841767,german_credit,7.435753466796875,43,42,3.0,ha_uniform,0.6309523809523809,0.4139868640376029,0.0
0.5,2.803482987172303,german_credit,7.435753466796875,44,42,3.0,ha_uniform,0.6279761904761906,0.4147985997523723,0.0
0.5,2.8368882085369043,german_credit,7.435753466796875,45,42,3.0,ha_uniform,0.6227678571428571,0.4079563148689224,0.0
0.5,2.8698499430651125,german_credit,7.435753466796875,46,42,3.0,ha_uniform,0.6294642857142857,0.41391321688983257,0.0
0.5,2.9025780545038087,german_credit,7.435753466796875,47,42,3.0,ha_uniform,0.6242559523809522,0.3892153939333346,0.0
0.5,2.935106705853639,german_credit,7.435753466796875,48,42,3.0,ha_uniform,0.6309523809523809,0.3938568735356647,0.0
0.5,2.967617792823816,german_credit,7.435753466796875,49,42,3.0,ha_uniform,0.6361607142857143,0.3977758826136649,0.0
0.5,2.9998347846064015,german_credit,7.435753466796875,50,42,3.0,ha_uniform,0.6391369047619048,0.399043442686296,0.0
0.5,0.486364463071042,german_credit,7.869038476562499,1,123,3.0,ha_uniform,0.3824404761904762,0.2837403142453976,0.0
0.5,0.6400298525559446,german_credit,7.869038476562499,2,123,3.0,ha_uniform,0.38541666666666663,0.2847125629770084,0.0
0.5,0.7605902727203083,german_credit,7.869038476562499,3,123,3.0,ha_uniform,0.38764880952380953,0.28548123509086737,0.0
0.5,0.8635157630337058,german_credit,7.869038476562499,4,123,3.0,ha_uniform,0.3861607142857143,0.285556622527833,0.0
0.5,0.9553904230558622,german_credit,7.869038476562499,5,123,3.0,ha_uniform,0.38988095238095233,0.28723559681244526,0.0
0.5,1.0392626963342089,german_credit,7.869038476562499,6,123,3.0,ha_uniform,0.38913690476190477,0.2870367281191918,0.0
0.5,1.1170753079280986,german_credit,7.869038476562499,7,123,3.0,ha_uniform,0.39211309523809523,0.28928447070225194,0.0
0.5,1.1898082871343574,german_credit,7.869038476562499,8,123,3.0,ha_uniform,0.3950892857142857,0.29020348552609254,0.0
0.5,1.2586604159886903,german_credit,7.869038476562499,9,123,3.0,ha_uniform,0.3988095238095237,0.2921241525027098,0.0
0.5,1.3251383150465925,german_credit,7.869038476562499,10,123,3.0,ha_uniform,0.39806547619047616,0.29219869936247306,0.0
0.5,1.386802419648509,german_credit,7.869038476562499,11,123,3.0,ha_uniform,0.396577380952381,0.2916742202438767,0.0
0.5,1.4480605200563073,german_credit,7.869038476562499,12,123,3.0,ha_uniform,0.3943452380952381,0.29032494461624075,0.0
0.5,1.5049303993983174,german_credit,7.869038476562499,13,123,3.0,ha_uniform,0.3943452380952381,0.2909552062206283,0.0
0.5,1.5618002787403271,german_credit,7.869038476562499,14,123,3.0,ha_uniform,0.39806547619047616,0.2927290896382999,0.0
0.5,1.6158412641203976,german_credit,7.869038476562499,15,123,3.0,ha_uniform,0.3988095238095238,0.292833046280505,0.0
0.5,1.6679828413145072,german_credit,7.869038476562499,16,123,3.0,ha_uniform,0.40476190476190477,0.2952022273234387,0.0
