alpha,auc_mean,auc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,curve_method,epsilon_mean,epsilon_std,f1_mean,f1_std,num_runs,precision_mean,precision_std,recall_mean,recall_std,target_epsilon,training_time_mean,training_time_std
0.1,0.6145892056388323,0.04745796125291585,0.36254389912794444,0.07992824852772254,0.5898945198337513,0.05430422255296832,0.21023660744531938,0.0209595234852888,dp_uniform,0.9998316824359142,0.00011296504157235359,0.3962231268839859,0.038694540344506465,5,0.3746461448875312,0.1407598630235557,0.5317256970610399,0.2033915126115137,1.0,67.49197645187378,30.942413466345023
0.1,0.6349209031794668,0.06443283466282648,0.3864649286103821,0.09662065425192196,0.609717579431037,0.06739619190253947,0.1980697255676595,0.026587035781989107,full_ha_dp,0.9998903747818182,7.851238242300115e-05,0.42030259427320493,0.05731979617316527,5,0.4019691546005876,0.11815388824696553,0.5410700828937453,0.25438917576180947,1.0,915.3970273494721,907.9816088605854
0.1,0.6312894337123377,0.0416962116330418,0.3856516824443229,0.07535992164000577,0.612426450205134,0.03729415483600993,0.20938610209158517,0.02301926272170529,scheduler,0.9998332027534801,0.00012862236523447567,0.4064097790767431,0.03626353411036171,5,0.4292757207730154,0.10541851674054996,0.42938960060286363,0.12788490613850717,1.0,893.8198485851287,881.325066606304
0.1,0.6419206295170625,0.04139393006694555,0.39943956098279787,0.06896623524725096,0.6075180077763986,0.05058572623010603,0.21979836276706685,0.0010907734147008507,dp_uniform,1.9998054623443495,9.90292067163381e-05,0.41370520625051477,0.04338823657570564,5,0.4023916184196561,0.14394696123300382,0.518010550113037,0.1643516987187671,2.0,63.613845920562746,26.171018313914704
0.1,0.6608505369475692,0.05122344180435167,0.41981736490287863,0.07287086603642987,0.6324629890546327,0.048114909308616845,0.1984103695448033,0.02564695413261351,full_ha_dp,1.9998756398770483,0.00010715566075178148,0.4319308697970979,0.06401669821381918,5,0.4359759122411407,0.09277398945810134,0.45259984928409946,0.09646494654085422,2.0,791.0709146976471,754.2788151036885
0.1,0.6588761844526534,0.03488047213037627,0.4226393004257205,0.054243242920444565,0.6257966889913049,0.032487490126960304,0.2199010928478506,0.0009731335831926643,scheduler,1.9997656740252356,0.00021388391693503018,0.41969016613912385,0.046764437944395824,5,0.43917456612167266,0.10413452159919467,0.4244159758854559,0.08080080294976626,2.0,784.2496162414551,743.9422704933303
0.1,0.6559135349361425,0.03528535911977351,0.4185773349607248,0.05490895675584379,0.6171320244519052,0.048025277700234445,0.21989389234814063,0.0009997044062349117,dp_uniform,2.99992684076831,5.285285194074348e-05,0.42175076286373864,0.050515030195588805,5,0.4154636885214111,0.13487042012234188,0.49178598342125096,0.13579975184710263,3.0,62.66736488342285,23.73496923407929
0.1,0.6730698455153956,0.04418714290148648,0.43525625779981847,0.05858252848694435,0.638272356500998,0.04239328834297618,0.20898420107756074,0.02023413584550212,full_ha_dp,2.999872751373481,5.213375211662114e-05,0.43968303991171165,0.06451997928337402,5,0.46770975185818764,0.0962003960780684,0.4313489073097212,0.07781707295227475,3.0,745.3708517074585,679.7368945436481
0.1,0.6725978947830141,0.028370978573021444,0.44142905650235664,0.039101030956825066,0.6339619881791387,0.02672040869846636,0.21999450557580963,0.0008834268239033395,scheduler,2.9998981622711924,3.566800932374758e-05,0.43070080159316465,0.03888427733338427,5,0.46234938343752185,0.09050473441668459,0.4248681235870384,0.08071817966701965,3.0,742.588252401352,673.8020287868586
0.1,0.6670929908720606,0.030115790736295188,0.43073629451390777,0.042881963757636664,0.6286001563278343,0.029679142525765638,0.22010025789438184,0.000762064078970537,dp_uniform,4.999914814214363,8.43145097550121e-05,0.42315012253863804,0.04241694651613125,5,0.447999224686527,0.08894849976281739,0.42094951017332327,0.0779464986784582,5.0,67.28711466789245,21.23038065928085
