result_row,dataset,method,alpha,seed,target_epsilon,prediction_path,selection_data,variant,threshold,auc,auprc,f1,precision,recall,balanced_accuracy,brier,ece_10
3,default_credit_card_clients,dp_uniform,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed123.csv,validation_only,platt_validation_f1,0.2852173138760728,0.625701108727831,0.3873698929123325,0.39603960396039606,0.40030792917628943,0.3918613413715147,0.6125795044114154,0.16377449344042103,0.06404523405342614
4,default_credit_card_clients,scheduler,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed123.csv,validation_only,raw_fixed_0p5,0.5,0.620055067906818,0.3790255451280814,0.0,0.0,0.0,0.5,0.1676463072306189,0.01593305362360941
4,default_credit_card_clients,scheduler,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed123.csv,validation_only,raw_validation_f1,0.2395298955731242,0.620055067906818,0.3790255451280814,0.39002079002079004,0.43506493506493504,0.35342878673700073,0.6115528269229622,0.1676463072306189,0.01593305362360941
4,default_credit_card_clients,scheduler,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed123.csv,validation_only,platt_fixed_0p5,0.5,0.620055067906818,0.3790255451280814,0.019230769230769232,0.52,0.009796533534287867,0.5036142950145225,0.16479637553464516,0.06313768004696577
4,default_credit_card_clients,scheduler,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed123.csv,validation_only,platt_validation_f1,0.2955317049928304,0.620055067906818,0.3790255451280814,0.39002079002079004,0.43506493506493504,0.35342878673700073,0.6115528269229622,0.16479637553464516,0.06313768004696577
5,default_credit_card_clients,full_ha_dp,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed123.csv,validation_only,raw_fixed_0p5,0.5,0.6227257356027692,0.3815054584582889,0.0,0.0,0.0,0.5,0.16735012741435756,0.012715954656764174
5,default_credit_card_clients,full_ha_dp,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed123.csv,validation_only,raw_validation_f1,0.2416609395881363,0.6227257356027692,0.3815054584582889,0.3945522080066034,0.43613138686131386,0.3602110022607385,0.6139809558703649,0.16735012741435756,0.012715954656764174
5,default_credit_card_clients,full_ha_dp,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed123.csv,validation_only,platt_fixed_0p5,0.5,0.6227257356027692,0.3815054584582889,0.027900146842878122,0.5428571428571428,0.014318010550113038,0.505447042938228,0.16427549122919777,0.06116609725183258
5,default_credit_card_clients,full_ha_dp,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed123.csv,validation_only,platt_validation_f1,0.2943506441644183,0.6227257356027692,0.3815054584582889,0.3945522080066034,0.43613138686131386,0.3602110022607385,0.6139809558703649,0.16427549122919777,0.06116609725183258
6,default_credit_card_clients,dp_uniform,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed2026.csv,validation_only,raw_fixed_0p5,0.5,0.6100322025017937,0.345186007232915,0.0,0.0,0.0,0.5,0.21979447652115092,0.21880846449196192
6,default_credit_card_clients,dp_uniform,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed2026.csv,validation_only,raw_validation_f1,0.0022263878766958,0.6100322025017937,0.345186007232915,0.3681863230921705,0.2742709486895533,0.5599095704596835,0.5695974130920287,0.21979447652115092,0.21880846449196192
6,default_credit_card_clients,dp_uniform,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed2026.csv,validation_only,platt_fixed_0p5,0.5,0.6100306705083687,0.34518587172388293,0.0,0.0,0.0,0.5,0.16883317986518728,0.022320240477179697
