ablation_description,ablation_id,accuracy_ci95,accuracy_mean,accuracy_std,alpha,auc_ci95,auc_mean,auc_std,auprc_ci95,auprc_mean,auprc_std,balance_gamma,balanced_accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,best_round_ci95,best_round_mean,best_round_std,brier_ci95,brier_mean,brier_std,class_weighting,communication_cost_ci95,communication_cost_mean,communication_cost_std,configured_noise_multiplier,dataset,epsilon_mean,epsilon_std,epsilon_strategy,f1_ci95,f1_mean,f1_std,fixed_0_5_balanced_accuracy_ci95,fixed_0_5_balanced_accuracy_mean,fixed_0_5_balanced_accuracy_std,fixed_0_5_f1_ci95,fixed_0_5_f1_mean,fixed_0_5_f1_std,fixed_0_5_precision_ci95,fixed_0_5_precision_mean,fixed_0_5_precision_std,fixed_0_5_recall_ci95,fixed_0_5_recall_mean,fixed_0_5_recall_std,ha_prior_strength,ha_strength,mcc_ci95,mcc_mean,mcc_std,metadata_epsilon,method,noise_max,noise_min,num_runs,precision_ci95,precision_mean,precision_std,privacy_mode,recall_ci95,recall_mean,recall_std,specificity_ci95,specificity_mean,specificity_std,split,threshold_ci95,threshold_mean,threshold_std,total_epsilon,training_time_ci95,training_time_mean,training_time_std,use_heterogeneity_aware
No HA weighting + uniform privacy schedule,A0,0.012536776131621038,0.7806666666666666,0.01009675415390731,0.5,0.014772795177186495,0.6608311531991812,0.011897578731893108,0.019577082477593717,0.43279351615490913,0.015766811718721484,,0.005898452811214581,0.6349938583189904,0.004750442003430465,0.0,50.0,0.0,0.002805634856748386,0.21729240619177545,0.0022595765527607414,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.9999242619935376,5.5245405458732985e-05,uniform,0.010525905216349678,0.42956651612475766,0.008477257318869526,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01699253503961722,0.3041425325339087,0.013685292530184655,0.0,ha_dp_fedavg,,,5,0.042242570524344686,0.5089085306918696,0.03402093528156911,epsilon_allocation,0.03255483983674859,0.373775433308214,0.026218719302358393,0.024650265117407852,0.8962122833297667,0.01985260517585093,noniid_alpha=0.5,0.006652120214223471,0.008103393704877214,0.0053574237666926434,3.0,17.618087884104323,62.70366592407227,14.189094561484628,False
No HA weighting + uniform privacy schedule,A0,0.1751616482437019,0.6870333333333334,0.14107008699382179,0.1,0.04381256008271372,0.6559135349361425,0.03528535911977351,0.06817847478265873,0.4185773349607248,0.0549089567558438,,0.059631258324119286,0.6171320244519051,0.048025277700234445,1.6658670631186792,49.4,1.3416407864998738,0.0012412969700675628,0.2198938923481406,0.0009997044062349117,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.9999268407683104,5.285285194074348e-05,uniform,0.0627226943620388,0.4217507628637386,0.05051503019558881,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14613947530181606,0.24130588046163232,0.11769647466079908,0.0,ha_dp_fedavg,,,5,0.16746374508852874,0.4154636885214111,0.13487042012234188,epsilon_allocation,0.16861766283355278,0.49178598342125096,0.13579975184710263,0.270322448488018,0.7424780654825595,0.2177098223666593,noniid_alpha=0.1,0.0015926075499289956,0.0015434154596091286,0.001282639709480919,3.0,29.11792616539166,61.852088356018065,23.45072918882616,False
No HA weighting + back-loaded privacy schedule,A1,0.012229847623733373,0.792,0.009849562878061607,0.5,0.01832826999756224,0.6712250835379888,0.014761054539776091,0.020679618140841412,0.44599182333167653,0.016654761812178863,,0.00603957786086776,0.6426474071978856,0.004864100005802552,0.0,50.0,0.0,0.0026121305259202074,0.21751922442662103,0.0021037338037496493,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.9998693911945375,7.69040366244813e-05,back_loaded,0.011340036315903934,0.443558997575855,0.0091329347813167,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021753271736437565,0.33020146795987054,0.01751945113002116,0.0,ha_dp_fedavg,,,5,0.04104854198535775,0.5458205919041492,0.03305929949224586,epsilon_allocation,0.022345231169364974,0.3748304446119065,0.017996198006618818,0.020695229646433076,0.9104643697838647,0.016667334863837157,noniid_alpha=0.5,0.005702229995287744,0.007448411648459934,0.004592409865742089,3.0,492.44362943826775,759.4220042705535,396.59974852347614,False
No HA weighting + back-loaded privacy schedule,A1,0.07003298049630759,0.7505666666666667,0.05640252161423677,0.1,0.0352272226879312,0.6725978947830142,0.028370978573021448,0.04855034243174065,0.4414290565023566,0.039101030956825066,,0.03317776949817644,0.6339619881791385,0.02672040869846636,0.5552890210395597,49.8,0.4472135954999579,0.001096919282288275,0.21999450557580963,0.0008834268239033394,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.9998981622711924,3.566800932374758e-05,back_loaded,0.04828120726103402,0.4307008015931647,0.03888427733338428,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08123730562591192,0.28177195272407063,0.06542615856095736,0.0,ha_dp_fedavg,,,5,0.11237647039219062,0.46234938343752197,0.09050473441668459,epsilon_allocation,0.10022485769308158,0.4248681235870384,0.08071817966701965,0.11134933513548978,0.8430558527712388,0.08967750961336685,noniid_alpha=0.1,0.0010885894382118128,0.0015991995400586364,0.0008767182102296623,3.0,824.4898077406725,732.0199035167694,664.0200641505331,False
HA weighting + uniform privacy schedule,A2,0.013541002329970927,0.7833333333333334,0.010905528669237252,0.5,0.013935604701032249,0.6643697354860152,0.011223329919520877,0.015796249670321415,0.43752288221393487,0.012721839155498436,1.0,0.0072697920520393405,0.6391339496032218,0.005854878664885243,0.0,50.0,0.0,0.002921076925764422,0.21670189897665057,0.00235255023097243,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.9999499331460355,6.725072346196051e-05,uniform,0.013137047671493464,0.43705833813570727,0.01058019535920987,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.021300738810490605,0.3132684535117308,0.017154994299025325,0.1,ha_dp_fedavg,,,5,0.04540596596113474,0.5172628667617378,0.03656864177975729,epsilon_allocation,0.03159261622134325,0.3805576488319518,0.025443772443306895,0.024935034745282733,0.8977102503744918,0.02008195033548094,noniid_alpha=0.5,0.006523123802542962,0.009060005975890736,0.00525353381589507,3.0,17.63682798935937,63.40448551177978,14.20418729613922,True
HA weighting + uniform privacy schedule,A2,0.18591289641487022,0.6833333333333333,0.14972882896163386,0.1,0.04867653469853006,0.6581807400689332,0.03920266253104479,0.0751935719481877,0.4204553665068637,0.06055871158136604,1.0,0.06405862209594326,0.6189654335517203,0.05159094746132018,1.1105780420791194,49.6,0.8944271909999159,0.003601537509701159,0.2189293417155842,0.0029005733555223204,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.9999098456943214,8.296709821225176e-05,uniform,0.06844918282345475,0.42527458839258525,0.05512697712301853,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.15008283597346778,0.24374843827082326,0.1208723424296611,0.1,ha_dp_fedavg,,,5,0.16705416404878345,0.4146347507271157,0.1345405554888035,epsilon_allocation,0.18261760512616634,0.5035418236623964,0.14707489738797871,0.2872973816139912,0.7343890434410442,0.23138093882854413,noniid_alpha=0.1,0.0035853239832838732,0.0023987257614372106,0.0028875154538349546,3.0,29.39253527042378,62.03399429321289,23.671891359453145,True
HA weighting + back-loaded privacy schedule,A3,0.01754599570079271,0.7844666666666666,0.014131033617931539,0.5,0.018392598377351875,0.6736675003398606,0.014812862742222724,0.01861095640812301,0.4490453660734247,0.014988721936889734,1.0,0.007262176790665727,0.6428292467543106,0.005848745555296311,0.0,50.0,0.0,0.0026818883459547855,0.2169752363903263,0.0021599147191466426,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.999821425018383,0.00017424131445703252,back_loaded,0.013000400147913482,0.4434926856175997,0.010470143425854582,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.021060885229014524,0.320373096557913,0.016961823214236636,0.1,ha_dp_fedavg,,,5,0.05188533570792765,0.5225336409389628,0.0417869373542172,epsilon_allocation,0.04343165865353933,0.38884702336096455,0.034978592208817404,0.034070747962843526,0.8968114701476567,0.027439587531032095,noniid_alpha=0.5,0.006197904387661533,0.008255997129410548,0.00499161157658403,3.0,495.62971597819217,760.5766400814057,399.1657297748723,True
HA weighting + back-loaded privacy schedule,A3,0.07047945728697837,0.7517,0.05676210101036702,0.1,0.03833933927214106,0.6739282294945502,0.03087738657769256,0.05473457523878878,0.4431558197505357,0.04408163184079565,1.0,0.03808936039199894,0.6365781169091598,0.030676060872426282,1.1105780420791194,49.6,0.8944271909999159,0.003252418490935485,0.2191204596762982,0.002619403071717103,balanced,0.0,3204000.0,0.0,,default_credit_card_clients,2.999872751373481,5.2133752116621144e-05,back_loaded,0.0564169800182168,0.4352490516682499,0.045436591622074515,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.08918914958827918,0.2856358081374252,0.07183034195829407,0.1,ha_dp_fedavg,,,5,0.11080344333379262,0.46288684754499093,0.08923786426447466,epsilon_allocation,0.09768110255885532,0.4301431801055012,0.0786695134111677,0.10883415291939086,0.8430130537128184,0.08765185515311232,noniid_alpha=0.1,0.0029247993678092332,0.002397953893097081,0.0023555481773171708,3.0,829.5381450689647,733.4499732494354,668.0858479177965,True
